品名,カテゴリ,常備,ざっくり
キャベツ,野菜・果物,A,
レタス,野菜・果物,A,
白菜,野菜・果物,A,
ほうれん草,野菜・果物,A,
小松菜,野菜・果物,A,
チンゲンサイ,野菜・果物,A,
ねぎ,野菜・果物,A,
葉物野菜,野菜・果物,A,Z
じゃがいも,野菜・果物,A,
にんじん,野菜・果物,A,
玉ねぎ,野菜・果物,A,
大根,野菜・果物,A,
しょうが,野菜・果物,A,
にんにく,野菜・果物,A,
きのこ,野菜・果物,A,Z
しめじ,野菜・果物,A,
しいたけ,野菜・果物,A,
えのき,野菜・果物,A,
舞茸,野菜・果物,A,
みかん,野菜・果物,A,
りんご,野菜・果物,A,
いちご,野菜・果物,A,
梨,野菜・果物,A,
ぶどう,野菜・果物,A,
ブロッコリー,野菜・果物,A,
もやし,野菜・果物,A,
鶏肉,肉・魚,A,Z
鶏もも,肉・魚,A,
鶏むね,肉・魚,A,
手羽先,肉・魚,A,
手羽元,肉・魚,A,
豚肉,肉・魚,A,Z
豚バラ,肉・魚,A,
豚こま,肉・魚,A,
合い挽き肉,肉・魚,A,
ハム,肉・魚,A,
ベーコン,肉・魚,A,
ウインナー,肉・魚,A,
ちくわ,肉・魚,A,
かまぼこ,肉・魚,A,
練り物,肉・魚,A,
魚,肉・魚,A,Z
ツナ,肉・魚,A,
卵,乳製品・卵,A,
ヨーグルト,乳製品・卵,A,
ヤクルト,乳製品・卵,A,
さけるチーズ,乳製品・卵,A,
マーガリン,乳製品・卵,A,
納豆,大豆製品 他,A,
豆腐,大豆製品 他,A,
あげ,大豆製品 他,A,
厚揚げ,大豆製品 他,A,
こんにゃく,大豆製品 他,A,
しらたき,大豆製品 他,A,
漬物,大豆製品 他,A,
梅干し,大豆製品 他,A,
キムチ,大豆製品 他,A,
餃子の皮,大豆製品 他,A,
食パン,パン・主食,A,
その他のパン,パン・主食,A,
醤油,調味料・乾物,A,
ソース,調味料・乾物,A,
マヨネーズ,調味料・乾物,A,
ケチャップ,調味料・乾物,A,
ドレッシング,調味料・乾物,A,
ごまドレ,調味料・乾物,A,
焼肉のタレ,調味料・乾物,A,
めんつゆ,調味料・乾物,A,
白だし,調味料・乾物,A,
みりん,調味料・乾物,A,
調理酒,調味料・乾物,A,
味噌,調味料・乾物,A,
サラダ油,調味料・乾物,A,
ごま油,調味料・乾物,A,
オリーブオイル,調味料・乾物,A,
ジャム,調味料・乾物,A,
砂糖,調味料・乾物,A,
塩,調味料・乾物,A,
片栗粉,調味料・乾物,A,
小麦粉,調味料・乾物,A,
パン粉,調味料・乾物,A,
だしの素,調味料・乾物,A,
コンソメ,調味料・乾物,A,
鶏ガラ,調味料・乾物,A,
カレールウ,調味料・乾物,A,
シチュールウ,調味料・乾物,A,
コーンスープ,調味料・乾物,A,
インスタントスープ,調味料・乾物,A,
かつお節,調味料・乾物,A,
ふえるワカメ,調味料・乾物,A,
ふりかけ,調味料・乾物,A,
ごま,調味料・乾物,A,
わさび,調味料・乾物,A,
冷凍焼きおにぎり,冷凍食品,A,
冷凍おかず,冷凍食品,A,
アイス,冷凍食品,A,
コーヒー,お菓子・飲料,A,
麦茶,お菓子・飲料,A,
キッチンペーパー,日用品,A,
ラップ(小),日用品,A,
ラップ(大),日用品,A,
アルミホイル,日用品,A,
ジップロック,日用品,A,
ゴミ袋(大),日用品,A,
ゴミ袋(小),日用品,A,
ティッシュ,日用品,A,
トイレットペーパー,日用品,A,
アルコール,日用品,A,
くつ用洗剤,日用品,A,
台所用洗剤,詰め替え,A,
食洗機用洗剤,詰め替え,A,
洗濯洗剤,詰め替え,A,
柔軟剤,詰め替え,A,
漂白剤,詰め替え,A,
シャンプー,詰め替え,A,
リンス,詰め替え,A,
ボディーソープ,詰め替え,A,
